",",1.9577475707541585,","
.,1.8204367493248625,SENT
и,1.5615237039087826,C
--,1.4748641930268886,-
в,1.387107952501956,Sc-l
не,1.3612755244764794,Q
«,1.242048701622365,-
в,1.2119961271325375,Sc-a
с,1.191040145463042,Sc-i
а,1.190046998077654,C
на,1.1867768400675704,Sc-a
что,1.1865395884515872,C
я,1.1800945060713441,P-1-sn
/,1.1721469240668263,-
-,1.167218668094055,-
:,1.156341469829747,-
?,1.1535498046463166,SENT
на,1.1521419144518148,Sc-l
он,1.1388277269632094,P-3msn
но,1.121707214882465,C
»,1.1200425051514904,-
по,1.1199515026369995,Sc-d
к,1.1125232690025473,Sc-d
!,1.1114310777423326,SENT
...,1.1049066896871211,SENT
как,1.0960244625030755,C
(,1.0937645405282688,-
у,1.09249130715075,Sc-g
из,1.0865524608740447,Sc-g
это,1.0793666911499986,P--nsn
от,1.0700790701003386,Sc-g
так,1.065170112253616,R
о,1.0599481773965966,Sc-l
для,1.0593801446049387,Sc-g
же,1.0571519285908801,Q
мы,1.049202860354861,P-1-pn
быть,1.0475097741426591,Vm-s-sna-p
она,1.0465224036756535,P-3fsn
или,1.0403424394924625,C
бы,1.0400313193379747,Q
за,1.0399825738311408,Sc-a
еще,1.038251635691023,R
его,1.037487090986039,P--nsv
),1.0369448896626305,-
только,1.03532479719487,Q
в,1.0344801155176313,Sc
они,1.0342251462070466,P-3-pn
если,1.0308743577756057,C
уже,1.0307316276200758,R
быть,1.029293968236759,Vmis-sma-p
ее,1.027688490867404,P--nsv
как,1.0262019422279856,R
я,1.0260256004825783,P-1-sd
с,1.0258700769964555,Sc-g
.],1.0255484105355641,SENT
до,1.0254868114732065,Sc-g
он,1.0244652340712186,P-3msa
вот,1.023044943867911,Q
когда,1.0221824088999905,C
ты,1.0201877070015002,P-2-sn
вы,1.0189652497833461,P-2-pn
что,1.0173560579541674,P--nsn
;,1.0146153247746965,-
чтобы,1.0120486161036824,C
[№,1.0119057252253938,-
нет,1.0117936134869119,R
весь,1.0092473333584844,P---pn
при,1.0090523372632532,Sc-l
он,1.007504385214678,P-3msd
очень,1.0065004176341246,R
мочь,1.0049617239095785,Vmip3s-a-p
быть,1.0043984929541039,Vmn----a-p
за,1.0034497690399238,Sc-i
быть,1.0025198309625207,Vmis-sfa-p
быть,1.001404032941956,Vm-p3s-a-p
там,1.000769774337893,R
ну,1.0003557826176253,Q
можно,1.0003316505859317,R
тот,1.0001337964898425,P--nsn
я,0.9999798036359566,P-1-sa
быть,0.9995999323263409,Vmif3s-a-p
даже,0.9995523755004498,Q
что,0.999373991008369,P--nsa
быть,0.999158246104825,Vm-s-p-a-p
чем,0.9982111121926396,C
время,0.9980946131047683,Ncnsan
все,0.9978058151141123,P---pn
сказать,0.9976645285226229,Vmis-sma-e
то,0.9973395939994929,C
где,0.9968856326695796,R
после,0.9953288402599156,Sc-g
их,0.995161924079226,P--nsv
сейчас,0.9946647984368311,R
надо,0.9940980785390008,R
с,0.9939941196971556,Sc
год,0.9939041892750753,Ncmpgn
без,0.9934743537986437,Sc-g
потом,0.9934606884988275,R
весь,0.9930947809127777,P---pa
они,0.9923656660614011,P-3-pa
кто,0.9922786219542128,P--msn
да,0.9919645539976205,Q
ли,0.9918100572879323,Q
год,0.9910339190039821,Ncmsgn
тот,0.9909789471677941,P--nsl
теперь,0.9901466485065589,R
тоже,0.9895752147153831,Q
я,0.9895516928203056,P-1-sg
тот,0.9893882210163056,P--nsg
да,0.9891118421432341,C
на,0.9888596604180275,Q
потому,0.9887702855371949,R
мы,0.9887580966282625,P-1-pg
ни,0.988707305825129,Q
тут,0.9884744047302636,R
тогда,0.9882462600784154,R
себя,0.9879858416670313,P----a
ничто,0.9877256742756968,P--nsg
здесь,0.9876825015423183,R
это,0.9868944564220676,Q
со,0.9866948741516977,Sc-i
через,0.9864682432179284,Sc-a
он,0.9858702685247946,P-3msg
они,0.9850379472936108,P-3-pg
который,0.9849465527263428,P---pn
конечно,0.9847391017638483,-
1,0.9846509255972644,Mc
то,0.9846492849407977,Q
тот,0.9839678769358224,P--nsi
более,0.9839600714957193,R
просто,0.9836641829662427,Q
об,0.9835790776905147,Sc-l
под,0.9834552958100682,Sc-i
мы,0.9834318514139482,P-1-pd
во,0.9828498603857687,Sc-l
это,0.9826887901856414,P--nsa
хотя,0.982671484973745,C
она,0.982599372500951,P-3fsd
который,0.9818449767303621,P--msn
раз,0.9816950964989606,Ncmsan
человек,0.9814968283098944,Ncmsny
что,0.981215379919762,P
это,0.9811657665824765,P--nsl
перед,0.9808750011986449,Sc-i
2,0.9805856970994791,Mc
всегда,0.9805144796974696,R
тот,0.9804482204649996,P--nsa
себя,0.9802377803762496,P----d
ни,0.9801917848105455,C
вы,0.9801238184813577,P-2-pd
сам,0.9800305546829233,P--msn
он,0.979604602727651,P-3msi
человек,0.9795863442328727,Ncmpny
они,0.9794900594731835,P-3-pd
[.],0.9791828015796664,SENT
между,0.9790490349698713,Sc-i
также,0.9789721628429198,C
именно,0.978878651374067,Q
почему,0.9787327332657685,R
свой,0.978437837382284,P--fsa
человек,0.97837001212531,Ncmpgy
год,0.978169387100511,Ncmsln
один,0.9781006871102771,P--msn
много,0.9780869458080357,Mc
лишь,0.9776678355005557,Q
это,0.9776661682504328,P--nsg
над,0.977549444833592,Sc-i
ведь,0.9774272685161107,Q
почти,0.9773300866999142,R
сегодня,0.9771936617995443,R
сказать,0.977107696276625,Vmn----a-e
сразу,0.9769419768445711,R
ты,0.9769248586401771,P-2-sd
вдруг,0.9767030960386696,R
