153.11,выше,высоко,Adj
152.26,истории,история,N
151.73,имя,имя,N
150.69,комнате,комната,N
150.10,старик,старик,N
150.04,главное,главное,AdjN
149.97,мама,мама,N
149.32,машину,машина,N
148.40,рот,рот,N
148.34,должна,должный,Adj
147.55,виде,вид,N
147.10,последний,последний,Adj
146.90,дети,ребенок,N
145.20,лицом,лицо,N
145.01,сын,сын,N
144.74,ночи,ночь,N
144.29,пол,пол,AdjN
143.83,матери,мать,N
143.57,неожиданно,неожиданно,Adj
143.18,дороге,дорога,N
142.65,женщины,женщина,N
141.74,ответ,ответ,N
141.74,капитан,капитан,N
141.67,первого,первый,N
141.41,голове,голова,N
141.41,виду,вид,N
141.28,свете,света,N
140.83,городе,город,N
140.76,другом,друг,N
140.37,обратно,обратно,Adj
139.98,ребята,ребята,N
139.85,случай,случай,N
139.52,небо,небо,N
139.39,народ,народ,N
139.32,утра,утро,N
139.00,стола,стол,N
138.28,земли,земля,N
138.15,мере,мера,N
138.08,дни,день,N
137.56,очередь,очередь,N
137.43,тело,тело,N
137.04,внимание,внимание,N
136.51,парень,парень,N
136.38,мысль,мысль,N
136.32,дорогу,дорога,N
136.19,солнце,солнце,N
136.06,скорее,скоро,Adj
135.67,путь,путь,N
135.47,новый,новый,Adj
135.08,невозможно,невозможно,Adj
134.36,сорок,сорок,N
134.16,другого,другой,N
134.03,человеком,человек,N
133.71,окно,окно,N
132.14,стены,стена,N
131.29,раза,раз,N
131.03,книги,книга,N
130.05,стране,страна,N
129.85,утром,утро,N
129.53,ногами,нога,N
129.46,часы,часы,N
129.39,концов,конец,N
129.26,слов,слово,N
129.13,хуже,плохо,Adj
129.00,крови,кровь,N
128.81,связи,связь,N
128.55,генерал,генерал,N
128.55,голова,голова,N
128.48,мол,мол,N
128.35,лежал,лежать,Adj
128.28,письмо,письмо,N
127.89,воздух,воздух,N
127.50,течение,течение,N
127.37,солдат,солдат,N
127.24,вещи,вещь,AdjN
127.17,стояла,стоять,Adj
127.17,жил,жить,AdjN
126.91,вечер,вечер,N
126.65,осторожно,осторожно,Adj
126.52,стать,становиться,N
126.46,месяц,месяц,N
125.61,возможно,возможно,Adj
125.21,дядя,дядя,N
124.95,работа,работа,N
123.45,внимания,внимание,N
123.39,груди,грудь,N
123.25,черт,черт,N
123.19,другим,другой,N
123.12,новые,новый,AdjN
122.86,речь,речь,N
122.80,д,д,N
122.67,столом,стол,N
122.47,неделю,неделя,N
122.28,спиной,спина,N
122.21,партии,партия,N
121.95,вчера,вчера,N
121.69,рублей,рубль,N
121.10,м,м,N
121.03,рук,рука,N
120.84,возможность,возможность,N
120.58,видимо,видимо,Adj
120.58,любви,любовь,N
120.19,дороги,дорога,AdjN
119.92,мальчик,мальчик,N
119.34,страшно,страшно,Adj
119.27,народа,народ,N
119.14,человеку,человек,N
119.07,трубку,трубка,N
118.88,любовь,любовь,N
118.75,обязательно,обязательно,Adj
118.68,руке,рука,N
118.29,вечером,вечер,N
118.23,резко,резко,Adj
117.83,чаще,часто,AdjN
117.83,номер,номер,N
117.38,любой,любой,N
116.85,язык,язык,N
116.33,армии,армия,N
116.20,явно,явно,Adj
115.87,начальник,начальник,N
115.74,конец,конец,N
115.74,последние,последний,Adj
115.48,сына,сын,N
115.48,общества,общество,N
115.09,море,море,N
114.63,н,н,N
114.50,брат,брат,N
114.24,нос,нос,N
113.78,взглядом,взгляд,N
113.46,волосы,волос,N
113.07,лес,лес,N
112.80,работе,работа,N
112.74,лице,лицо,N
112.67,старый,старый,Adj
112.54,маленький,маленький,AdjN
112.02,ногу,нога,N
111.76,души,душа,N
111.69,поле,поле,N
111.24,улицу,улица,N
111.17,машина,машина,N
110.13,губы,губа,N
110.06,право,право,AdjN
108.30,девушка,девушка,N
108.30,господин,господин,N
108.23,права,право,AdjN
108.17,вон,вон,N
108.10,снег,снег,N
107.64,разных,разный,AdjN
107.58,берегу,берег,N
107.45,чувство,чувство,N
107.38,плечами,плечо,N
106.79,хозяин,хозяин,N
106.60,громко,громко,Adj
106.53,лесу,лес,N
106.34,прежнему,прежний,Adj
106.34,вода,вода,N
106.34,полу,пол,N
106.14,века,век,N
105.49,нового,новое,AdjN
105.23,тела,тело,N
105.03,вопросы,вопрос,N
104.90,немедленно,немедленно,Adj
104.84,имени,имя,N
104.77,людям,человек,N
104.57,кровь,кровь,N
104.51,системы,система,N
104.12,смысле,смысл,N
104.05,счет,счет,N
104.05,разные,разный,AdjN
103.53,внимательно,внимательно,Adj
103.46,трудом,труд,N
103.33,ног,нога,N
103.14,война,война,N
103.14,зубы,зуб,N
102.68,водой,вода,N
102.29,нужен,нужный,Adj
102.16,первым,первый,N
101.96,людьми,человек,N
101.96,власть,власть,N
101.90,минуты,минута,NPtcp
101.24,стене,стена,N
100.59,области,область,N
100.59,р,р,N
100.59,лейтенант,лейтенант,N
100.52,история,история,N
99.94,ладно,ладно,Adj
99.81,правильно,правильно,Adj
99.68,го,го,N
99.54,пальцем,палец,N
99.41,гораздо,гораздо,Adj
99.22,готов,готовый,AdjN
99.15,другу,друг,N
99.02,возможности,возможность,N
98.76,порядке,порядок,N
98.56,комнаты,комната,N
98.56,друзья,друг,N
98.50,спину,спина,N
98.17,третий,третий,N
97.98,месяца,месяц,N
97.85,пошла,пойти,Adj
97.59,странно,странно,Adj
97.39,душе,душа,N
97.39,тысячи,тысяча,N
