",",7.911758860939997,","
.,7.756022859007341,SENT
--,7.316559484260111,-
не,7.141752752869972,Q
«,6.921363194920307,-
что,6.7958005053106385,C
/,6.7595161251158515,-
-,6.74665506047042,-
:,6.7174001515251565,-
?,6.709686488069067,SENT
но,6.614696622514524,C
»,6.609323822793558,-
!,6.580767984327361,SENT
...,6.55821668197712,SENT
как,6.52609945863417,C
(,6.517644537121846,-
так,6.398399029596486,R
же,6.359853465583856,Q
быть,6.309553503425399,Vm-s-sna-p
или,6.268820882409376,C
бы,6.266979200306523,Q
еще,6.256317528215725,R
),6.248347663946586,-
только,6.238293531496769,Q
если,6.209620850155597,C
уже,6.20867424012393,R
быть,6.199040325075565,Vmis-sma-p
как,6.177680997307533,R
.],6.173048930140139,SENT
вот,6.1549007682640084,Q
когда,6.148493255088276,C
;,6.088442402843394,-
чтобы,6.06629653734498,C
[№,6.065033790298229,-
нет,6.064040757966106,R
очень,6.014693029893481,R
мочь,5.999352579944697,Vmip3s-a-p
быть,5.993612992087339,Vmn----a-p
быть,5.973957411232221,Vmis-sfa-p
быть,5.9618901169714835,Vm-p3s-a-p
там,5.95489238408165,R
ну,5.950268874412734,Q
можно,5.949997977428219,R
быть,5.941709988497903,Vmif3s-a-p
даже,5.941166299127138,Q
быть,5.936636375846064,Vm-s-p-a-p
чем,5.925570624584246,C
время,5.924191529757403,Ncnsan
сказать,5.919065247052875,Vmis-sma-e
то,5.9151551615322004,C
где,5.909637791704648,R
после,5.8902120756110605,Sc-g
сейчас,5.8816763371751515,R
надо,5.874267109498242,R
год,5.871705174374931,Ncmpgn
потом,5.865791942230656,R
да,5.845275145991829,Q
ли,5.843104363371655,Q
год,5.832043849398971,Ncmsgn
теперь,5.8190698643117225,R
тоже,5.81051869339403,Q
да,5.8034672809947745,C
на,5.799584238328059,Q
потому,5.79820023214455,R
ни,5.7972224817087605,Q
тут,5.793588727740191,R
тогда,5.790001372831545,R
здесь,5.781015895314516,R
это,5.768155988715524,Q
конечно,5.731036004563363,-
то,5.729422305754184,Q
более,5.716847291235087,R
просто,5.711341203731656,Q
хотя,5.692369997630949,C
раз,5.6729105997208755,Ncmsan
человек,5.668855848581375,Ncmsny
всегда,5.648216580117502,R
ни,5.641227524644341,C
человек,5.627817773346638,Ncmpny
[.],5.618654943533588,SENT
также,5.6137977307723315,C
именно,5.611624636083886,Q
почему,5.608212745640484,R
человек,5.599618624272994,Ncmpgy
год,5.594794192539302,Ncmsln
лишь,5.58250365609932,Q
ведь,5.576487982130752,Q
почти,5.5740349590089515,R
сегодня,5.570568767889869,R
сказать,5.568370884233851,Vmn----a-e
сразу,5.564103523818843,R
вдруг,5.557880404647532,R
однако,5.555749351972937,C
день,5.54855443286481,Ncmsan
совсем,5.54001829609299,R
3,5.539355547524602,Mc
россия,5.535761429135341,Ncfsgn
хорошо,5.53541537773703,R
5,5.53021460114657,Mc
поэтому,5.52692043477413,R
стать,5.513633691125803,Vmis-sma-e
например,5.512734907583248,-
знать,5.502935001320177,Vmip1s-a-p
вообще,5.502188213272865,R
дело,5.501440138879129,Ncnsnn
жизнь,5.501427660049104,Ncfsgn
вместе,5.499062699740378,R
говорить,5.497403309884386,Vmip3s-a-p
о,5.492004341985366,I
случай,5.489702761249201,Ncmsln
мочь,5.4826848305203555,Vmis-sma-p
как,5.47356030165399,P
нужно,5.467328514847406,R
никогда,5.462509983987601,R
мочь,5.4606908752388765,Vmip3p-a-p
быть,5.44410905731675,Vmif3p-a-p
пока,5.43815903737258,C
4,5.429910385775572,Mc
больше,5.422026727883374,R
должный,5.418687835728257,Afpms-s
куда,5.415277426145367,R
[,5.414714030177976,-
друг,5.413416967287259,Ncmsny
человек,5.409548632315785,Ncmsgy
опять,5.4065314506141515,R
сказать,5.39871373518358,Vmis-sfa-e
нельзя,5.393257242927596,R
спросить,5.387358251455781,Vmis-sma-e
снова,5.383773464433749,R
образ,5.381312215127364,Ncmsin
уж,5.374579603791692,Q
год,5.374295406996041,Ncmsan
значит,5.37256952044758,-
должный,5.3698917486051005,Afp-p-s
даже,5.369130881318716,C
особенно,5.369113958007193,R
являться,5.367876771664719,Vmip3s-m-p
время,5.363184233132262,Ncnsgn
делать,5.360810187271902,Vmn----a-p
В,5.3533635647147015,-
назад,5.352555574747868,R
совершенно,5.348510667567979,R
А,5.344929020809394,-
работа,5.344750055758894,Ncfsgn
%,5.342416774011106,-
жизнь,5.342308780853293,Ncfsan
мочь,5.339183371854369,Vmip1s-a-p
6,5.336929274635792,Mc
сторона,5.336035307649411,Ncfsgn
стать,5.3358709094082055,Vmis-sna-e
20,5.327980127401712,Mc
все-таки,5.325573437471627,Q
сделать,5.319051640908974,Vmn----a-e
давно,5.317091112010948,R
говорить,5.316384678081619,Vmis-sma-p
идти,5.309528268022949,Vmip3s-a-p
быть,5.308595471211362,Vm-p3p-a-p
рядом,5.308459270794783,R
российский,5.306372015915212,Afpfsgf
говорить,5.304687107163867,Vmn----a-p
хороший,5.299016431466395,Afc
россия,5.298538856730266,Ncfsln
стать,5.297262750635969,Vm-s-p-a-e
далекий,5.2953816454326,Afc
иметь,5.291635273363481,Vmip3s-a-p
же,5.283755866124732,C
как-то,5.283529214984447,R
быстро,5.28040589684029,R
знать,5.275877716355344,Vmis-sma-p
думать,5.275604938075342,Vmip1s-a-p
федерация,5.273711759480606,Ncfsgn
жизнь,5.273332131412811,Ncfsnn
чуть,5.271301824804806,R
мир,5.271047367799195,Ncmsgn
день,5.268793165544988,Ncmsgn
15,5.268217107342998,Mc
